severity,file,line,category,key,detail
review,translations_zh.csv,2409,CSV 英文残留,AUTO_RESOURCES_ASSETS_2263314,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2419,CSV 英文残留,AUTO_RESOURCES_ASSETS_2264514,"残留英文：tallyThreshold, actionName, damage"
review,translations_zh.csv,2426,CSV 英文残留,AUTO_RESOURCES_ASSETS_2265074,"残留英文：actionName, damage"
review,translations_zh.csv,2433,CSV 英文残留,AUTO_RESOURCES_ASSETS_2265AD4,"残留英文：tallyThreshold, embedEffect, embedTags"
review,translations_zh.csv,2435,CSV 英文残留,AUTO_RESOURCES_ASSETS_22660F0,"残留英文：rate, br"
review,translations_zh.csv,2436,CSV 英文残留,AUTO_RESOURCES_ASSETS_2266248,"残留英文：rate, br"
review,translations_zh.csv,2437,CSV 英文残留,AUTO_RESOURCES_ASSETS_22663A0,"残留英文：rate, br"
review,translations_zh.csv,2441,CSV 英文残留,AUTO_RESOURCES_ASSETS_2266B6C,"残留英文：xx, xx, br"
review,translations_zh.csv,2452,CSV 英文残留,AUTO_RESOURCES_ASSETS_2267AB0,"残留英文：rate, actionName, damage"
review,translations_zh.csv,2480,CSV 英文残留,AUTO_RESOURCES_ASSETS_226A8BC,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2502,CSV 英文残留,AUTO_RESOURCES_ASSETS_226D288,"残留英文：br, all"
review,translations_zh.csv,2507,CSV 英文残留,AUTO_RESOURCES_ASSETS_226DD8C,"残留英文：actionName, damage, br"
review,translations_zh.csv,2513,CSV 英文残留,AUTO_RESOURCES_ASSETS_226E4F0,"残留英文：xx, br"
review,translations_zh.csv,2538,CSV 英文残留,AUTO_RESOURCES_ASSETS_2271030,"残留英文：rate, actionName, damage"
review,translations_zh.csv,2556,CSV 英文残留,AUTO_RESOURCES_ASSETS_2272134,"残留英文：actionName, damage"
review,translations_zh.csv,2591,CSV 英文残留,AUTO_RESOURCES_ASSETS_2274A18,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2593,CSV 英文残留,AUTO_RESOURCES_ASSETS_2274F24,"残留英文：xx, xx"
review,translations_zh.csv,2631,CSV 英文残留,AUTO_RESOURCES_ASSETS_22778A4,"残留英文：br, actionName, damage"
review,translations_zh.csv,2653,CSV 英文残留,AUTO_RESOURCES_ASSETS_22795AC,"残留英文：br, tallyThreshold, actionName, damage"
review,translations_zh.csv,2663,CSV 英文残留,AUTO_RESOURCES_ASSETS_227A318,"残留英文：xx, xx"
review,translations_zh.csv,2666,CSV 英文残留,AUTO_RESOURCES_ASSETS_227AB68,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2673,CSV 英文残留,AUTO_RESOURCES_ASSETS_227B598,"残留英文：br, actionName, damage"
review,translations_zh.csv,2677,CSV 英文残留,AUTO_RESOURCES_ASSETS_227BF40,"残留英文：rate, actionName, damage"
review,translations_zh.csv,2691,CSV 英文残留,AUTO_RESOURCES_ASSETS_227DEAC,"残留英文：tallyThreshold, actionName, damage"
review,translations_zh.csv,2717,CSV 英文残留,AUTO_RESOURCES_ASSETS_2281054,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2724,CSV 英文残留,AUTO_RESOURCES_ASSETS_228189C,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2726,CSV 英文残留,AUTO_RESOURCES_ASSETS_2281E50,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2738,CSV 英文残留,AUTO_RESOURCES_ASSETS_2283FE8,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2739,CSV 英文残留,AUTO_RESOURCES_ASSETS_228424C,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2740,CSV 英文残留,AUTO_RESOURCES_ASSETS_2284450,"残留英文：actionName, damage"
review,translations_zh.csv,2759,CSV 英文残留,AUTO_RESOURCES_ASSETS_2286288,"残留英文：actionName, damage, cooldown"
review,translations_zh.csv,3203,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E27A4,Your starting Weapon has a Negative Enchantment.
review,translations_zh.csv,3203,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E27A4,"残留英文：Your, starting, Weapon, has, Negative, Enchantment"
review,translations_zh.csv,3208,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E2A98,You sometimes encounter Rooms filled to the brink with Enemies.
review,translations_zh.csv,3208,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E2A98,"残留英文：You, sometimes, encounter, Rooms, filled, to, the, brink, with, Enemies"
review,translations_zh.csv,3214,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E2D98,New oppressive Enemy Enchantments can appear.
review,translations_zh.csv,3214,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E2D98,"残留英文：New, oppressive, Enemy, Enchantments, can, appear"
review,translations_zh.csv,3225,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E31A0,Rooms have a chance to contain an Infested Enemy.
review,translations_zh.csv,3225,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E31A0,"残留英文：Rooms, have, chance, to, contain, an, Infested, Enemy"
review,translations_zh.csv,3236,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E3784,Defeat Death with 10 different classes.
review,translations_zh.csv,3236,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E3784,"残留英文：Defeat, Death, with, different, classes"
review,translations_zh.csv,3238,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E38AC,Upgrade a cannon or gun to level 4 without help from equipment items.
review,translations_zh.csv,3238,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E38AC,"残留英文：Upgrade, cannon, or, gun, to, level, without, help, from, equipment, items"
review,translations_zh.csv,3244,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E3BDC,Have 4 charms equipped at the same time.
review,translations_zh.csv,3244,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E3BDC,"残留英文：Have, charms, equipped, at, the, same, time"
review,translations_zh.csv,3249,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E3EFC,Requires it being the month of December and having defeated Death at least once.
review,translations_zh.csv,3249,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E3EFC,"残留英文：Requires, it, being, the, month, of, December, and, having, defeated, Death, at"
review,translations_zh.csv,3251,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E4034,Upgrade a polearm or spear to level 4 without help from equipment items.
review,translations_zh.csv,3251,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E4034,"残留英文：Upgrade, polearm, or, spear, to, level, without, help, from, equipment, items"
review,translations_zh.csv,3259,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E467C,Defeat Eden in the High Heavens as the Wizard.
review,translations_zh.csv,3259,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E467C,"残留英文：Defeat, Eden, in, the, High, Heavens, as, the, Wizard"
review,translations_zh.csv,3261,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E47A4,Defeat Amon in the Burning Hells as the Warrior.
review,translations_zh.csv,3261,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E47A4,"残留英文：Defeat, Amon, in, the, Burning, Hells, as, the, Warrior"
review,translations_zh.csv,3263,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E48C4,Defeat Primal Death in the Shadow Planes as the Doppelganger.
review,translations_zh.csv,3263,CSV 英文残留,AUTO_RESOURCES_ASSETS_22E48C4,"残留英文：Defeat, Primal, Death, in, the, Shadow, Planes, as, the, Doppelganger"
review,translations_zh.csv,3265,CSV 原译文相同,AUTO_RESOURCES_ASSETS_22E49F4,Defeat Bahamut in the High Heavens as the Gunslinger.
